LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
98426,383343,FALSE,143,104,315
60171,143771,FALSE,129,105,421
160829,352869,TRUE,83,109,351
91221,133348,FALSE,69,112,378
91940,294846,TRUE,135,112,448
127500,331500,TRUE,72,118,889
96498,144747,FALSE,39,123,392
85140,147196,TRUE,140,123,265
65164,161066,TRUE,55,125,334
87490,225289,FALSE,155,125,452
88702,263395,FALSE,89,125,329
69304,306147,TRUE,140,126,337
185658,309429,TRUE,83,126,384
48249,104226,TRUE,96,130,400
9225,129529,TRUE,83,132,552
61883,254343,TRUE,138,132,587
81223,181914,FALSE,77,137,358
78309,133782,TRUE,88,137,406
16622,42232,FALSE,44,139,712
51239,268623,FALSE,99,139,631
55774,181379,FALSE,30,140,351
69620,273122,TRUE,107,140,523
92958,254017,FALSE,109,144,-1
97072,101562,FALSE,105,145,452
34808,149564,TRUE,103,147,452
117941,280198,FALSE,88,147,379
78084,141725,TRUE,118,151,503
103895,408205,FALSE,98,152,529
42436,223217,TRUE,134,152,558
45200,433500,FALSE,82,160,452
40156,123678,TRUE,126,161,411
40251,259748,TRUE,71,161,673
49000,112845,TRUE,66,166,355
31713,489519,FALSE,98,166,487
112200,214200,FALSE,51,167,620
82022,233309,FALSE,89,168,406
126141,538611,TRUE,89,172,825
84093,433500,TRUE,23,172,-1
141647,210000,FALSE,88,173,620
75053,69692,TRUE,60,174,313
51170,56777,TRUE,93,174,390
69447,453862,TRUE,143,174,427
80856,190011,TRUE,62,175,658
289738,357926,TRUE,89,175,509
13571,65513,TRUE,60,179,659
83248,18174,TRUE,10,179,301
66929,282920,FALSE,127,180,552
63529,173294,FALSE,96,180,530
100475,314116,FALSE,105,180,560
61374,114983,TRUE,126,181,544
82022,154109,TRUE,119,182,532
91005,61728,TRUE,133,182,441
101858,265592,TRUE,123,182,433
86633,133199,TRUE,91,183,475
44013,111081,TRUE,140,183,700
91005,142186,TRUE,131,187,405
55514,22206,TRUE,98,188,441
164046,316063,TRUE,79,189,-1
38697,153527,TRUE,69,189,547
59175,255898,FALSE,143,189,440
57907,116780,TRUE,97,189,435
40609,69197,FALSE,88,189,432
72433,68899,FALSE,128,189,-1
103056,170043,FALSE,102,190,390
50684,282388,TRUE,85,190,595
79647,214961,TRUE,85,193,658
131396,230828,TRUE,17,193,302
19621,176223,TRUE,135,194,606
52193,164031,FALSE,145,194,445
148086,363226,TRUE,122,194,552
80068,197840,TRUE,37,194,463
69620,428768,TRUE,127,195,593
56043,194838,TRUE,101,196,365
72407,380075,TRUE,102,196,1036
29424,108371,TRUE,40,202,537
54599,80306,FALSE,70,202,567
65667,112276,TRUE,51,203,414
51977,103408,TRUE,65,203,425
118667,152966,TRUE,122,203,582
67949,188875,TRUE,112,204,461
81465,166390,TRUE,136,204,369
37214,140052,TRUE,125,208,-1
60171,65358,FALSE,141,208,560
42221,75220,FALSE,147,208,540
9225,118670,TRUE,73,208,638
9041,133256,TRUE,102,209,-1
49591,167606,TRUE,112,209,-1
216602,392700,TRUE,94,209,617
15767,112200,FALSE,68,210,327
198034,307340,TRUE,44,210,578
123302,343096,FALSE,97,210,650
46949,166431,FALSE,124,210,537
79647,266982,TRUE,110,210,636
92958,239999,FALSE,106,210,601
8297,119955,TRUE,147,211,557
45124,170416,TRUE,122,211,552
31083,27651,TRUE,110,214,579
141647,142297,TRUE,70,214,439
62875,109633,TRUE,143,214,397
69048,85478,FALSE,91,215,476
23627,111798,TRUE,103,215,573
170431,65338,TRUE,93,215,771
94606,463755,TRUE,83,215,476
101858,155658,TRUE,78,215,658
10650,91629,TRUE,132,216,599
66396,34006,TRUE,81,216,447
84607,98947,TRUE,70,217,-1
50079,137457,TRUE,129,217,552
73681,47000,FALSE,80,217,-1
183885,274500,TRUE,5,218,615
35827,94662,TRUE,139,218,764
87490,261381,FALSE,69,218,711
53236,246302,TRUE,42,218,595
84504,110493,FALSE,124,218,501
107219,250770,TRUE,138,218,701
98426,373734,TRUE,97,218,501
107219,151369,FALSE,128,221,498
75221,251534,TRUE,85,221,761
50653,174308,TRUE,79,221,910
96498,150108,FALSE,112,222,1049
48711,73779,TRUE,137,223,754
13847,149768,TRUE,120,223,519
19764,119177,TRUE,90,223,567
44141,117744,TRUE,72,223,291
51647,26177,TRUE,88,223,476
191061,304042,TRUE,89,224,596
60500,179014,TRUE,80,225,399
129210,412629,TRUE,115,228,544
92958,187686,TRUE,69,228,530
23293,657148,TRUE,77,228,589
68824,337615,TRUE,144,228,746
82851,242638,TRUE,128,229,-1
144747,329133,FALSE,82,230,-1
190010,262900,TRUE,81,230,-1
44827,123106,TRUE,127,230,467
103056,341117,TRUE,100,231,452
41422,192926,TRUE,139,231,656
144747,437250,TRUE,97,232,615
57921,186376,TRUE,111,232,537
85687,230006,TRUE,90,232,-1
94818,132186,TRUE,64,235,494
124575,281975,TRUE,65,235,607
183885,168500,FALSE,55,235,-1
107174,161585,TRUE,124,235,726
126141,538611,TRUE,113,236,918
54778,104685,TRUE,70,236,608
128766,173861,TRUE,97,236,574
113873,600736,FALSE,113,237,589
83946,262923,TRUE,57,237,427
15226,91275,TRUE,118,239,574
83946,262923,TRUE,57,239,610
93775,198698,TRUE,131,242,544
46026,109510,TRUE,70,242,883
120723,135818,TRUE,83,244,657
39032,111499,TRUE,118,244,491
193156,192519,TRUE,116,244,606
117941,449670,FALSE,55,245,656
108653,242264,FALSE,61,245,655
98426,125137,FALSE,88,249,544
80380,223744,FALSE,125,249,502
80380,60340,FALSE,90,249,497
96261,391796,FALSE,146,250,529
107219,365537,TRUE,137,252,575
78469,60362,TRUE,136,252,477
75082,200509,TRUE,117,252,614
39670,67919,TRUE,108,252,620
40825,131217,TRUE,111,253,725
115274,191150,FALSE,77,253,601
133972,346124,TRUE,146,256,656
44196,153923,TRUE,115,256,518
92958,199758,TRUE,75,256,540
65628,317506,TRUE,91,256,579
26256,87117,TRUE,103,257,537
101373,148916,TRUE,102,257,656
57456,384936,TRUE,77,257,722
89239,195013,TRUE,77,258,658
56122,188020,TRUE,109,259,445
89239,386455,FALSE,103,259,711
115512,167471,FALSE,89,259,599
72433,86922,TRUE,98,259,664
120687,311891,TRUE,99,260,631
100788,111643,FALSE,99,263,532
55774,136732,FALSE,59,263,469
67971,147273,TRUE,120,263,480
79273,324976,TRUE,98,264,733
99861,198854,TRUE,99,264,552
79273,324976,TRUE,98,264,733
45078,112782,TRUE,95,264,641
46026,96580,TRUE,123,265,488
32526,116536,TRUE,136,265,496
14492,81341,FALSE,91,265,579
48711,131869,TRUE,121,265,616
55755,132125,TRUE,71,265,774
109208,195368,FALSE,110,266,553
114345,173828,TRUE,136,266,491
84936,165257,TRUE,103,266,537
92958,399180,TRUE,139,266,589
54395,89792,TRUE,117,270,424
25578,88967,TRUE,85,270,830
68221,170457,TRUE,119,270,529
133442,301704,TRUE,76,271,907
65628,317506,TRUE,91,272,579
72976,104168,TRUE,126,272,656
73612,217995,FALSE,135,273,693
47784,147907,TRUE,116,273,789
102000,122400,FALSE,40,273,634
105117,208231,FALSE,148,273,833
129210,412629,TRUE,115,274,658
83662,460524,FALSE,85,278,1013
34472,35367,TRUE,135,278,503
45983,64266,FALSE,64,278,519
61351,78085,FALSE,52,278,567
57921,166723,TRUE,115,279,-1
12689,125223,TRUE,103,279,558
151787,295445,TRUE,123,279,673
58090,209480,FALSE,45,279,775
60359,91073,FALSE,103,279,741
107219,262688,TRUE,91,280,483
73681,146499,TRUE,133,280,606
51695,212434,TRUE,136,280,755
36069,331500,FALSE,56,280,938
46411,129454,TRUE,63,281,699
62502,241608,TRUE,116,281,582
54324,121291,TRUE,117,281,445
81879,245949,FALSE,149,281,757
55672,158427,FALSE,66,281,589
80032,226139,TRUE,91,281,693
115890,87567,TRUE,107,281,537
78084,191522,TRUE,122,281,694
76554,166880,TRUE,127,284,631
155941,101617,TRUE,57,284,-1
112103,147354,TRUE,124,284,663
117941,232655,FALSE,46,285,589
173840,215986,TRUE,75,285,552
113848,403917,TRUE,59,285,622
49905,328379,TRUE,89,286,537
48037,184820,FALSE,57,286,519
101858,272400,FALSE,80,286,560
55179,568939,FALSE,66,286,985
70721,139968,FALSE,107,287,771
138868,167408,FALSE,112,287,447
55179,211156,TRUE,51,287,622
13200,11551,TRUE,89,288,-1
87041,165649,TRUE,112,288,452
78084,242683,TRUE,122,288,931
78870,117708,TRUE,71,288,614
34833,109124,TRUE,122,291,502
42304,118855,TRUE,60,291,589
173278,451140,TRUE,24,292,638
30916,153000,FALSE,104,292,755
86671,351791,TRUE,38,292,727
33122,14458,FALSE,75,292,518
11074,78830,TRUE,139,293,768
43743,91887,TRUE,111,294,627
58309,137172,TRUE,59,294,519
102000,119340,FALSE,145,294,743
31888,123429,TRUE,88,294,489
101924,274637,TRUE,119,295,1012
87597,191473,TRUE,74,295,586
99013,85582,TRUE,46,299,544
56043,69500,TRUE,80,299,1344
50680,239062,TRUE,123,299,844
14582,104789,TRUE,114,300,574
56402,81527,TRUE,130,300,553
85140,18244,FALSE,117,300,532
88702,405489,FALSE,136,300,911
91940,39404,TRUE,112,300,539
119931,47974,TRUE,105,300,560
52651,125834,TRUE,75,301,476
49685,145568,TRUE,116,301,620
90428,156233,FALSE,138,301,694
115997,242935,FALSE,104,301,746
30916,207060,TRUE,150,301,670
12685,63826,TRUE,131,301,729
84936,259348,FALSE,66,301,-1
73612,146370,TRUE,89,301,652
69620,151415,FALSE,38,301,1393
82022,153909,TRUE,77,302,656
97305,219151,FALSE,109,302,657
33464,126059,FALSE,117,302,1044
35552,150631,TRUE,126,305,691
83471,65588,TRUE,100,305,1083
22980,148387,TRUE,104,306,697
100475,135851,TRUE,118,306,728
13847,105638,FALSE,120,306,895
107219,161524,FALSE,120,306,573
103138,45689,FALSE,154,306,839
135071,255000,TRUE,37,306,729
45124,102357,TRUE,83,307,537
55556,19599,FALSE,130,307,1140
52214,95500,FALSE,116,307,1174
109363,315903,TRUE,98,307,757
76807,252113,TRUE,67,307,748
19474,40385,TRUE,124,308,573
49000,109809,TRUE,93,308,718
25248,153000,TRUE,103,309,396
63529,167332,FALSE,103,309,638
115997,299783,TRUE,85,312,720
127500,357000,FALSE,135,312,769
58611,80524,TRUE,74,312,476
58017,175033,FALSE,50,312,600
21327,83245,TRUE,103,312,651
69304,162372,FALSE,88,313,532
40825,117460,FALSE,74,314,607
47339,76271,FALSE,73,314,544
131341,298062,TRUE,139,315,636
61374,107917,TRUE,120,315,553
98562,261055,TRUE,54,315,810
45237,147888,TRUE,102,315,566
81879,219664,TRUE,110,315,812
84936,237075,TRUE,64,316,578
128820,309170,FALSE,130,316,544
11541,51889,TRUE,111,316,790
107219,51000,FALSE,122,316,1373
14412,47898,TRUE,142,319,693
75422,168952,TRUE,91,319,762
12416,168357,TRUE,43,319,756
10523,69832,TRUE,118,319,631
57754,23103,TRUE,130,319,600
112200,308040,FALSE,108,319,609
13567,39360,TRUE,125,320,574
43277,203233,TRUE,100,320,740
107219,212237,TRUE,40,320,760
103056,200960,FALSE,76,320,517
87078,93783,TRUE,109,321,586
123187,283796,TRUE,53,321,-1
44196,315248,TRUE,112,321,1036
68977,178112,FALSE,109,322,566
72062,242904,TRUE,118,322,-1
15786,107182,FALSE,85,322,589
66396,21761,FALSE,153,323,491
12787,57501,FALSE,101,326,691
127500,229500,TRUE,73,326,705
107219,224591,FALSE,87,326,656
56940,164798,FALSE,69,327,642
125000,314000,FALSE,110,327,-1
71012,127059,TRUE,106,327,812
19113,209541,TRUE,115,327,571
37557,42580,TRUE,70,327,475
82849,176370,FALSE,72,327,925
10381,261649,TRUE,85,327,606
78870,40651,TRUE,140,327,655
44309,39989,TRUE,140,328,792
29009,87805,FALSE,117,328,610
11401,43627,TRUE,122,328,666
141647,232754,TRUE,90,328,721
79273,118914,TRUE,81,328,741
113250,476571,TRUE,58,328,680
91637,374363,TRUE,84,329,1022
123769,144816,TRUE,88,329,595
98426,240604,TRUE,103,330,624
53609,24555,TRUE,131,330,-1
45000,173933,TRUE,130,333,-1
117581,173600,TRUE,111,334,924
54681,116816,TRUE,63,335,699
8211,110170,TRUE,114,335,748
44231,161728,TRUE,132,335,729
25764,121362,FALSE,58,336,557
119931,27289,TRUE,144,336,490
12590,119937,TRUE,144,340,666
102000,235110,FALSE,79,341,901
62286,58666,TRUE,119,341,595
136146,182059,TRUE,121,341,937
44013,180381,TRUE,143,341,-1
109466,190882,TRUE,99,342,848
39872,39119,FALSE,116,342,510
122364,218735,TRUE,108,342,747
92750,185501,FALSE,79,342,560
84938,81285,TRUE,63,343,519
71012,151191,TRUE,88,343,582
63297,193529,TRUE,58,343,-1
107219,166085,FALSE,124,343,641
72407,171343,TRUE,110,343,704
72506,137765,TRUE,104,343,740
91800,217260,TRUE,71,347,620
33290,148624,TRUE,51,347,673
67949,186981,TRUE,143,347,692
71012,128236,FALSE,116,347,743
109443,226800,FALSE,79,347,736
54324,56365,FALSE,114,347,756
178500,423300,TRUE,37,347,705
110000,330000,TRUE,69,348,1016
54730,46371,FALSE,126,348,511
42046,262999,TRUE,61,348,600
24732,112200,FALSE,105,348,617
171551,379498,FALSE,49,348,831
54793,141346,TRUE,89,349,795
83515,172360,TRUE,81,349,631
69754,166181,TRUE,57,349,673
10139,24830,FALSE,129,349,721
64454,60570,TRUE,138,349,-1
45130,72911,TRUE,87,350,673
45983,250320,TRUE,135,350,615
101858,303579,FALSE,133,350,971
60045,60061,TRUE,67,350,719
10442,112603,TRUE,138,350,803
24732,142800,FALSE,125,350,666
75221,234766,TRUE,27,351,841
43277,146567,TRUE,141,351,588
60359,28793,TRUE,120,351,-1
145185,142378,FALSE,67,354,810
66939,88732,FALSE,120,354,592
207791,320868,TRUE,61,354,928
72433,69459,TRUE,97,354,960
58017,97555,TRUE,45,355,795
79273,202794,FALSE,92,355,727
115185,233267,TRUE,66,355,746
113873,164131,TRUE,59,355,769
107219,167804,TRUE,67,355,636
93912,97120,TRUE,64,355,736
148523,61887,TRUE,146,356,489
62286,107299,FALSE,71,356,588
96498,161190,FALSE,89,357,664
51708,14862,TRUE,95,357,592
41018,173312,TRUE,119,357,861
51497,129332,TRUE,135,357,823
80380,61706,TRUE,96,357,797
95338,160110,TRUE,96,358,781
98426,316063,FALSE,53,358,713
17403,126593,TRUE,128,358,795
117941,358650,TRUE,95,358,706
21751,87133,TRUE,91,358,648
117941,187591,FALSE,41,361,650
80856,242215,TRUE,107,361,812
127500,229500,FALSE,118,361,718
72506,62265,FALSE,96,361,600
61998,98568,FALSE,87,361,804
127500,296820,TRUE,78,362,798
85775,141204,FALSE,125,362,656
44140,255753,TRUE,142,362,693
102614,533318,TRUE,53,363,834
103138,323956,FALSE,70,363,902
96900,157080,FALSE,112,363,840
102000,130560,FALSE,106,363,615
110000,205000,TRUE,62,364,1132
80380,68126,TRUE,154,364,813
117941,192506,TRUE,30,364,798
96498,194501,FALSE,125,364,875
103011,33382,TRUE,59,364,678
63818,287952,TRUE,66,365,1062
22498,140605,TRUE,88,365,613
91137,127985,FALSE,93,365,1169
141647,63000,TRUE,98,365,-1
66980,182099,FALSE,140,365,620
148047,155760,FALSE,87,365,921
63529,226720,TRUE,61,369,812
153000,382500,FALSE,75,369,889
69304,191756,TRUE,105,369,1212
105201,209993,TRUE,109,369,770
57994,124572,FALSE,108,369,781
95525,412670,TRUE,69,369,783
120574,387557,TRUE,84,370,928
60359,85000,FALSE,108,370,1233
40027,84284,TRUE,73,370,663
101858,208006,FALSE,76,371,658
79276,186287,FALSE,116,371,707
34668,119460,FALSE,135,371,845
84504,12072,TRUE,134,371,670
100395,111634,FALSE,29,371,-1
71085,90970,FALSE,130,371,627
80856,302881,FALSE,105,372,-1
109208,175955,TRUE,149,372,736
53154,136024,FALSE,28,372,704
89239,558041,TRUE,99,372,902
61351,72652,FALSE,79,372,519
72062,242904,TRUE,118,375,-1
113848,403917,TRUE,59,375,665
78084,261032,TRUE,86,375,883
7431,67002,TRUE,145,375,608
57921,141431,FALSE,115,375,769
82849,220541,TRUE,71,376,693
51695,95751,TRUE,124,376,-1
98708,346718,FALSE,136,376,978
96900,91290,FALSE,113,377,722
103056,144279,TRUE,75,377,540
48798,196705,TRUE,87,377,-1
32199,63867,TRUE,71,378,740
51977,108228,TRUE,94,378,579
59472,147748,TRUE,44,378,596
27824,82700,FALSE,130,378,-1
25752,83436,FALSE,112,378,656
29864,79618,FALSE,118,378,579
86633,152500,TRUE,63,379,1432
41798,241711,FALSE,51,382,903
50197,5577,FALSE,92,382,1306
90599,351082,TRUE,86,382,998
55774,72511,FALSE,91,382,634
107219,233964,FALSE,52,382,641
63070,317446,FALSE,32,383,676
60359,178728,TRUE,51,383,859
18549,295800,FALSE,134,383,624
112200,198900,FALSE,158,383,701
193156,345255,TRUE,82,384,736
51528,132942,FALSE,78,389,582
85536,192152,FALSE,55,389,-1
107219,157196,TRUE,122,390,844
82022,222101,FALSE,105,390,533
150118,83661,TRUE,93,391,705
84093,300620,FALSE,44,391,729
60149,65814,FALSE,136,391,742
66929,50197,FALSE,131,393,664
112200,137700,TRUE,129,393,685
109363,315903,TRUE,99,396,757
30916,260000,FALSE,108,396,1110
100000,200000,TRUE,127,396,834
59175,86403,FALSE,98,396,-1
25764,188700,FALSE,69,396,601
101858,159322,TRUE,149,396,848
82444,144279,FALSE,101,397,547
46026,82228,TRUE,153,397,602
